"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1825.60795357222
"FDW14","OUT017",1562.36350291244
"NCN55","OUT010",1892.6173502358
"FDQ58","OUT017",2565.52886633939
"FDY38","OUT027",5195.81528133749
"FDH56","OUT046",1922.69959025256
"FDL48","OUT018",603.172250208913
"FDC48","OUT027",2762.30037540403
"FDN33","OUT045",1522.05416983281
"FDA36","OUT017",3061.2036957456
"FDT44","OUT017",1994.72114415756
"FDQ56","OUT045",1310.59962431094
"NCC54","OUT019",1888.67399457391
"FDU11","OUT049",2050.39361968632
"DRL59","OUT013",890.486465509851
"FDM24","OUT049",2557.0586658345
"FDI57","OUT045",3074.7367500628
"DRC12","OUT018",2763.92249290217
"NCM42","OUT027",3207.77666158157
"FDA46","OUT010",1145.17498214323
"FDA31","OUT013",2803.86561530028
"NCJ31","OUT035",3927.32656427173
"FDG52","OUT046",792.408196038373
"NCL19","OUT019",362.793244930994
"FDS10","OUT035",3006.44219255409
"FDX22","OUT010",1441.05717921978
"NCF19","OUT035",935.139272158773
"NCE06","OUT046",2560.64036784087
"DRC27","OUT046",3856.53573864126
"FDE21","OUT035",2007.84529798791
"NCR42","OUT019",0
"FDX51","OUT018",2856.72027854333
"NCR06","OUT018",433.113143601688
"FDU31","OUT027",4939.42058955287
"FDU59","OUT017",2708.99861801934
"FDR03","OUT027",4742.55965235857
"FDS49","OUT027",2751.49020064725
"FDD48","OUT010",0
"NCF18","OUT017",3143.01126464479
"NCD43","OUT027",3109.83784744947
"NCD54","OUT018",2004.03317632741
"FDY19","OUT010",0
"NCY54","OUT017",2859.71560545305
"NCL19","OUT018",2026.87955026646
"FDP23","OUT010",1510.85076986434
"FDC26","OUT013",1826.47832094774
"FDR14","OUT010",0
"NCS41","OUT035",3045.79010844341
"FDF41","OUT035",4055.31853551408
"FDU34","OUT046",1992.98483536216
"DRH11","OUT046",937.433816278599
"FDM03","OUT013",1740.98645529783
"FDS31","OUT017",3020.39904811607
"FDJ20","OUT017",2107.21311403466
"FDV44","OUT027",4487.72082913423
"FDG02","OUT049",3085.18624043871
"FDA09","OUT013",2926.71655805168
"FDT04","OUT013",678.147747877947
"FDL58","OUT019",2294.36939463458
"FDE52","OUT045",1435.04688820518
"FDW12","OUT035",2498.46000406831
"FDL51","OUT017",3548.70666470546
"NCY42","OUT027",3700.29930128467
"FDR07","OUT017",1659.63062059431
"FDN40","OUT045",2357.83919354552
"FDB35","OUT027",2957.70458085811
"FDA22","OUT017",2733.27950277097
"NCL06","OUT046",4134.71259026971
"FDI35","OUT013",2901.19141721964
"NCW42","OUT045",3430.54521937466
"NCX06","OUT049",2949.49583156012
"FDC37","OUT027",3184.47908576004
"FDZ14","OUT018",1727.63268782699
"DRG49","OUT049",3963.159757264
"NCG06","OUT045",3969.17135625579
"DRC36","OUT045",2735.03730505622
"FDV21","OUT019",90.8803201262128
"FDB53","OUT046",2362.26401466886
"DRP47","OUT019",2075.66761335896
"FDA14","OUT013",2339.71890639945
"DRC24","OUT035",2570.30111773819
"FDW21","OUT018",1389.38997456063
"NCH29","OUT046",1564.62310334762
"FDU58","OUT013",3067.11502519365
"FDY27","OUT017",2917.16138443547
"FDV56","OUT035",1940.13968295124
"FDT59","OUT046",3636.94978525561
"FDB23","OUT046",3608.59208610825
"FDR49","OUT045",701.427295169886
"FDB03","OUT010",1950.77527825102
"FDN39","OUT045",2611.75339207725
"FDX02","OUT027",4972.89709626353
"FDQ16","OUT027",3178.21515893637
"FDU35","OUT018",1320.8730736711
"NCT29","OUT013",1981.33080701466
"FDZ27","OUT046",798.550765114334
"FDN57","OUT017",2338.08266498723
"FDA03","OUT018",2089.13252433233
"FDZ36","OUT045",2922.03092384126
"NCU05","OUT013",1343.74209448877
"FDT39","OUT018",2175.11604444729
"FDK60","OUT017",1716.19222746669
"FDZ25","OUT017",2837.54092796423
"FDG12","OUT046",1999.88000605349
"DRB01","OUT019",1128.37392869924
"NCC43","OUT027",5400.2350667654
"FDX13","OUT019",2016.09340618608
"FDM22","OUT049",1023.39857339021
"FDJ03","OUT027",2311.8448710658
"FDU14","OUT018",3659.42131319038
"FDB33","OUT010",605.48463116687
"FDP27","OUT046",3015.94351984511
"FDO38","OUT010",0
"FDE28","OUT027",5162.15873264165
"FDO27","OUT035",1728.78427424943
"DRL23","OUT027",3167.36453159703
"FDS28","OUT046",970.657394746879
"FDX24","OUT013",1520.86839486456
"FDZ02","OUT035",1744.3025072696
"FDL46","OUT045",1801.56639545377
"FDS60","OUT027",4282.48975785346
"NCO06","OUT017",667.708402151699
"FDO16","OUT035",1511.14670706904
"FDC60","OUT049",1556.86545012548
"FDA48","OUT018",3199.45055550533
"FDZ36","OUT027",4452.01675741307
"FDK27","OUT045",1859.58473406637
"FDW23","OUT018",377.182780596971
"FDM14","OUT018",1486.6570922425
"FDM14","OUT013",1764.81613816698
"FDW60","OUT018",2590.53917351459
"FDE21","OUT013",1892.76765682676
"NCM42","OUT035",1896.47622644352
"FDY59","OUT010",0
"DRI49","OUT049",1412.76445457786
"FDT28","OUT019",501.635843512693
"FDQ22","OUT018",389.097622031547
"FDR60","OUT049",1338.16366884986
"FDC50","OUT019",0
"FDV24","OUT013",2442.85743325999
"DRF48","OUT010",1062.34365173138
"FDQ47","OUT046",669.263872462033
"DRN36","OUT049",1662.44401765633
"NCY06","OUT035",2195.29011865544
"FDE52","OUT035",1638.17360103621
"NCB54","OUT045",1956.9509885683
"NCF31","OUT035",2568.78570176048
"FDJ08","OUT027",4453.92469103577
"NCC07","OUT017",1804.12413378692
"NCD19","OUT027",2337.58248755765
"FDL46","OUT049",1998.06664826719
"FDM20","OUT045",3812.80345421117
"NCI06","OUT010",939.059738752416
"DRM11","OUT035",4229.29264618676
"NCH07","OUT018",2238.68616085075
"FDS23","OUT013",2095.81161567959
"FDO49","OUT018",587.573112023609
"FDS35","OUT049",1163.12534408195
"DRK39","OUT045",1266.01154311062
"DRI39","OUT049",1054.37635519307
"FDV04","OUT017",2662.50260319632
"NCN14","OUT035",3034.8990285215
"FDH08","OUT013",3676.59896681457
"FDS20","OUT046",2897.32721254697
"FDV40","OUT049",1320.59791280437
"FDZ48","OUT010",0
"FDS24","OUT027",2913.68905928797
"FDK44","OUT049",2860.44102690718
"FDS48","OUT045",2323.15888333702
"FDK26","OUT010",1089.91631558874
"FDD23","OUT045",2966.61900504158
"NCH54","OUT017",2666.00685796186
"NCP14","OUT010",0
"FDM60","OUT010",0
"FDV24","OUT017",2507.51052772679
"FDH08","OUT018",3333.09344135859
"FDS12","OUT027",3486.97727472268
"FDR39","OUT027",4311.47870086848
"FDP12","OUT027",2119.20033766984
"DRF60","OUT027",5180.07655374956
"FDC09","OUT035",1843.26508291436
"FDF50","OUT018",2862.84461596437
"FDG28","OUT035",4039.8589867314
"NCE19","OUT017",1016.84219533998
"NCM53","OUT010",0
"NCN18","OUT049",1873.718521193
"FDF32","OUT035",3292.89004144895
"FDF11","OUT013",3856.93614113096
"DRI59","OUT049",3651.36680952228
"NCG54","OUT035",2831.85506966867
"FDM44","OUT046",1627.26859505848
"FDT57","OUT018",3448.59801153618
"FDV24","OUT046",2402.18449018837
"FDI50","OUT019",1743.25585668869
"FDS09","OUT035",1041.48867295991
"NCC31","OUT027",3906.45499725805
"FDQ07","OUT019",1606.50123371488
"FDC22","OUT017",3189.21389864288
"FDZ56","OUT046",2684.45638786745
"FDZ40","OUT019",0
"FDS46","OUT027",3393.3135486264
"DRD24","OUT045",2169.82181324781
"FDV45","OUT017",3096.41611300172
"FDL26","OUT045",2406.03066633144
"FDA56","OUT018",1687.61307548744
"FDN27","OUT046",1888.37134510648
"FDM20","OUT049",3959.51591309583
"FDO16","OUT017",1442.0517376514
"FDL03","OUT035",3288.32157258819
"FDE58","OUT046",1870.19257684824
"FDI02","OUT027",3297.50316268475
"NCC55","OUT019",0
"FDR03","OUT018",3025.5755816527
"FDB14","OUT017",1644.70317885924
"FDR45","OUT013",3829.40392985616
"NCN07","OUT017",2176.47459763161
"FDM51","OUT019",0
"FDT52","OUT027",5362.05050179136
"FDL26","OUT046",2450.29505780915
"NCZ42","OUT046",3766.98927952328
"DRI47","OUT019",413.60480037241
"FDW40","OUT013",2327.94365436749
"FDN34","OUT046",2732.74699747342
